V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,Signal
243.128,96.455,158.618,90.253,0.693,56.238,1.581,3.615,13.597,264.586,0.664,1.414,0,64.28,-0.084,3.074,42.669,1.867,0.031,72.877,2.121,376.41,46.248,-0.958,-0.444,42.759,-1.651,-1.445,157.638,0
139.751,74.028,111.619,44.266,2.119,104.723,-0.498,2.533,9.437,168.638,2.126,-1.042,0.619,31.997,1.481,1.614,68.028,-0.056,-2.655,20.147,0.447,252.698,36.798,0.269,-1.254,31.816,-1.849,0.664,68.614,0
116.217,73.136,59.239,101.85,0.625,85.539,2.979,1.922,28.049,202.636,1.966,0.577,0,20.894,-2.359,1.423,41.074,-0.807,0.289,68.144,1.816,271.485,82.453,2.066,-1.21,58.216,1.442,-2.288,140.669,0
64.544,0.099,28.945,341.418,2.39,358.936,-1.181,0.714,35.293,508.349,3.894,1.01,0.963,20.102,0.446,-2.483,78.27,-0.264,-2.408,243.099,-2.409,470.806,331.152,-1.693,0.615,41.742,0.697,1.083,409.977,0
32.281,67.393,26.006,29.088,1.33,108.191,-0.362,0.846,48.389,152.087,1.252,-1.084,0.88,28.195,-0.076,2.496,35.312,0.046,1.659,32.186,-1.421,244.22,48.198,0.949,1.517,40.382,-0.382,-2.029,88.58,0
135.018,97.9,106.636,77.614,2.53,239.596,-1.207,2.698,66.3,320.62,5.094,0.426,0.419,22.294,1.434,1.405,113.555,0.552,-1.145,21.931,1.605,257.142,96.266,0.638,2.543,45.109,-1.892,-1.956,184.771,1
186.298,82.082,155.701,31.704,4.099,290.505,-3.715,3.152,30.062,183.909,1.896,-1.381,0.86,26.143,1.489,-1.996,49.557,-1.491,-0.969,35.315,1.783,212.263,38.719,-2.745,1.539,36.306,1.353,2.873,108.209,0
125.681,35.06,51.208,260.849,4.189,1055.752,-3.997,1.046,4.376,364.432,0.977,1.406,0.721,50.33,1.239,2.74,49.166,1.823,1.872,170.658,2.257,338.796,146.445,-1.47,-0.636,118.492,2.718,-1.139,264.937,0
112.183,65.499,58.901,33.321,5.136,570.188,-5.96,3.056,1.274,144.173,1.136,1.278,0.921,26.542,-0.646,-1.663,30.165,-0.061,1.621,35.989,-1.74,169.266,48.026,1.772,2.181,39.439,-3.364,-0.214,87.466,1
101.222,13.985,55.675,209.101,2.411,453.944,-1.42,0.982,20.404,385.977,1.019,0.438,0.548,54.113,0.152,0.444,55.131,1.116,0.631,102.377,0.817,518.757,177.46,-1.024,-3.044,99.273,1.387,-1.321,276.733,0
199.766,63.25,126.314,102.997,0.267,30.703,0.045,3.241,2.396,179.729,2.299,1.396,0,21.99,-2.027,1.039,50.546,0.583,-0.884,62.751,0.308,233.132,74.251,-0.385,-2.994,32.942,-0.118,2.822,107.194,0
122.298,63.212,85.342,12.449,1.49,300.891,1.812,2.976,3.565,320.497,1.906,-1.401,0.993,30.351,1.171,-1.957,57.839,1.599,1.381,18.489,-1.241,309.007,118.98,0.793,-2.849,113.327,2.284,0.186,232.307,0
269.853,68.348,196.229,78.466,1.092,113.724,-0.279,3.037,5.307,316.322,0.528,-1.27,0.015,127.482,-0.275,-0.471,67.29,-0.984,2.481,17.396,-0.757,327.854,83.374,0.683,2.231,38.176,-0.409,-2.137,121.55,0
108.867,11.107,60.111,170.709,3.594,732.093,-2.656,1.256,1.249,344.749,0.888,0.56,0.785,47.938,1.093,0.971,42.569,-0.127,0.673,83.765,0.486,408.742,167.944,2.554,-1.956,86.298,-1.04,2.518,254.243,1
108.467,44.546,71.69,21.881,3.979,348.498,-2.355,3.096,17.699,158.526,0.953,1.385,0.997,32.95,2.338,-2.936,31.389,1.372,0.005,17.072,-2.584,269.521,53.073,-0.723,1.31,41.115,3.256,-1.968,94.188,0
116.335,52.1,92.094,81.596,0.164,30.385,2.552,1.894,18.34,200.306,0.388,-0.613,0,72.182,1.812,2.791,27.999,0.165,-2.556,24.961,0.928,306.751,38.107,1.517,-0.791,31.086,1.682,-0.025,100.125,0
364.66,95.287,255.763,49.621,0.256,68.668,0.921,4.646,4.955,154.198,1.732,-0.008,0,24.929,2.134,-2.645,43.17,-1.953,1.428,55.5,-2.177,239.643,51.465,0.84,0.966,34.634,1.097,-0.852,86.099,0
131.717,66.835,106.426,58.676,5.376,742.65,-7.097,2.141,19.511,227.526,0.749,-0.37,0.95,48.637,1.114,-1.402,36.437,-0.968,-0.9,39.966,1.234,303.21,63.841,2.33,3.113,39.655,-3.046,0.599,142.452,1
68.274,46.041,51.278,101.182,4.422,807.77,-3.684,1.082,32.695,268.201,1.288,0.05,0.976,40.445,1.734,-1.636,52.113,0.752,-2.09,32.303,3.002,351.767,88.681,3.308,-0.425,86.962,-1.114,1.779,175.643,0
130.709,2.201,79.9,96.259,2.08,277.402,1.449,2.226,23.647,238.015,1.085,1.389,0.809,28.293,-0.151,0.626,30.706,2.069,0.787,37.452,0.722,347.114,98.436,2.63,2.88,80.579,0.551,-1.077,179.016,1
109.959,4.75,65.305,271.584,4.873,1060.733,-4.93,0.843,6.745,442.702,1.21,1.273,0.853,68.564,-0.789,0.39,82.995,0.033,0.574,120.706,0.527,481.681,257.553,-1.433,-2.721,33.59,3.44,-1.626,291.143,1
110.624,8.901,80.867,123.407,3.216,398.972,-2.165,1.355,37.073,333.646,0.547,0.745,0.751,87.103,-0.093,-2.387,47.655,-0.213,2.547,29.668,2.309,370.15,83.12,2.256,1.163,75.628,-0.959,-0.511,198.888,1
80.98,24.529,61.283,66.113,1.105,61.632,3.405,1.759,11.21,156.426,2.134,1.372,0,27.168,-0.172,2.867,57.965,-0.304,-1.663,8.532,-2.831,271.976,39.898,1.374,1.377,31.395,2.479,0.083,71.293,0
79.484,15.876,39.701,234.681,1.413,372.334,1.894,0.82,2.621,473.889,1.908,0.363,0.105,34.099,1.298,-1.688,65.054,0.487,-1.813,136.984,-1.981,500.268,301.358,2.254,1.122,73.378,0.841,-2.459,374.736,0
91.605,15.576,67.444,142.447,0.721,98.903,0.738,1.178,34.339,351.408,1.842,1.323,0.002,43.441,2.399,-1.625,80.015,1.816,-0.602,33.355,-0.904,316.592,148.218,1.292,2.425,43.648,0.571,1.458,227.953,0
106.15,56.471,74.755,22.573,4.967,637.046,-6.168,3.004,13.927,184.559,1.898,1.411,0.677,27.18,-1.609,-1.263,51.586,-1.551,2.016,19.033,-2.022,329.943,56.063,-2.483,-1.849,49.731,2.484,0.849,105.794,0
93.867,36.817,65.878,36.752,3.96,371.321,-1.751,2.847,42.712,181.058,1.755,1.414,0.998,25.02,1.752,2.072,43.902,1.558,-0.768,20.25,0.562,325.091,80.639,-0.507,2.78,31.496,3.453,0.356,112.135,0
177.728,49.73,138.514,189.278,1.115,266.35,0.369,2.346,68.031,614.522,5.778,1.376,0.775,31.243,0.495,-1.028,180.518,0.543,2.91,32.663,-2.714,569.443,286.223,1.381,-0.044,49.419,0.267,2.312,402.761,0
91.136,83.333,77.321,59.403,2.215,178.157,-0.587,1.841,37.756,191.229,2.962,-0.118,0,21.27,-0.555,-0.373,63.002,-2.394,-0.291,28.786,-3.016,344.322,55.396,1.908,2.018,51.562,-0.308,-1.681,106.957,0
